Orthogroup	PR	PS	PT
OG0004215	PR032018.0	PS070504.2.0, PS082562.2.0	PT033627.0, PT081999.0, PT172324.0
OG0004216	PR032019.0	PS070502.2.0, PS082564.2.0	PT033629.0, PT081997.0, PT172322.0
OG0004217	PR032038.0	PS070488.2.0, PS082582.2.0	PT033646.0, PT081981.0, PT163722.0
OG0004218	PR032056.0	PS070394.2.0, PS082437.2.0	PT033822.0, PT082128.0, PT172306.0
OG0004219	PR032060.0	PS070398.2.0, PS082433.2.0	PT033826.0, PT082135.0, PT172302.0
OG0004220	PR032067.0, PR050116.0	PS111279.2.0	PT055452.0, PT142768.0, PT193709.0
OG0004221	PR032072.0	PS070408.2.0, PS082448.2.0	PT033836.0, PT082116.0, PT172292.0
OG0004222	PR032084.0	PS082463.2.0	PT033847.0, PT082100.0, PT163672.0, PT172281.0
OG0004223	PR032087.0	PS070423.2.0, PS082479.2.0	PT033851.0, PT082085.0, PT163669.0
OG0004224	PR032089.0	PS070424.2.0, PS082478.2.0	PT033852.0, PT082086.0, PT163668.0
OG0004225	PR032090.0	PS070425.2.0, PS082477.2.0	PT033718.0, PT082087.0, PT163667.0
OG0004226	PR032094.0	PS070427.2.0	PT033716.0, PT082090.0, PT163662.0, PT172272.0
OG0004227	PR032095.0, PR071354.0, PR072561.0	PS113563.2.0	PT140261.0, PT180244.0
OG0004228	PR032097.0	PS070428.2.0, PS082468.2.0	PT033713.0, PT082095.0, PT172269.0
OG0004229	PR032098.0	PS082467.2.0	PT033712.0, PT082096.0, PT163658.0, PT172268.0
OG0004230	PR032105.0	PS070435.2.0, PS082637.2.0	PT033703.0, PT081921.0, PT163651.0
OG0004231	PR032106.0	PS070436.2.0, PS082636.2.0	PT033702.0, PT081922.0, PT163650.0
OG0004232	PR032114.0	PS070446.2.0, PS082629.2.0	PT033690.0, PT081933.0, PT163639.0
OG0004233	PR032119.0	PS070453.2.0, PS082622.2.0	PT033683.0, PT081940.0, PT163632.0
OG0004234	PR032120.0	PS070454.2.0, PS082621.2.0	PT033682.0, PT081941.0, PT163631.0
OG0004235	PR032124.0	PS070375.2.0, PS082416.2.0	PT033778.0, PT082153.0, PT172211.0
OG0004236	PR032125.0	PS070377.2.0, PS082414.2.0	PT033776.0, PT082155.0, PT163602.0
OG0004237	PR032126.0	PS070378.2.0, PS082413.2.0	PT033775.0, PT082156.0, PT172208.0
OG0004238	PR032130.0	PS070363.2.0, PS082410.2.0	PT033787.0, PT082159.0, PT163597.0
OG0004239	PR032133.0	PS070358.2.0, PS082406.2.0	PT033791.0, PT082163.0, PT172202.0
OG0004240	PR032136.0	PS070354.2.0	PT033794.0, PT082165.0, PT163589.0, PT172199.0
OG0004241	PR032140.0	PS070350.2.0, PS082400.2.0	PT033800.0, PT082169.0, PT163584.0
OG0004242	PR032143.0	PS070347.2.0, PS082396.2.0	PT033802.0, PT082173.0, PT131823.0
OG0004243	PR032152.0	PS070343.2.0, PS082392.2.0	PT033806.0, PT082178.0, PT163579.0
OG0004244	PR032160.0	PS070336.2.0, PS082384.2.0	PT033815.0, PT082185.0, PT172183.0
OG0004245	PR032164.0	PS070329.2.0, PS082378.2.0	PT033758.0, PT082192.0, PT172176.0
OG0004246	PR032165.0	PS070328.2.0, PS082377.2.0	PT033757.0, PT082193.0, PT163562.0
OG0004247	PR032170.0	PS070323.2.0, PS082371.2.0	PT033752.0, PT082201.0, PT172170.0
OG0004248	PR032173.0	PS070320.2.0, PS082369.2.0	PT033748.0, PT082203.0, PT213564.0
OG0004249	PR032175.0	PS070318.2.0, PS082367.2.0	PT033746.0, PT082205.0, PT172162.0
OG0004250	PR032183.0	PS070309.2.0, PS082358.2.0	PT033737.0, PT082213.0, PT163545.0
OG0004251	PR032186.0	PS070304.2.0, PS082353.2.0	PT033732.0, PT082218.0, PT163542.0
OG0004252	PR032190.0	PS070300.2.0, PS082349.2.0	PT033729.0, PT082223.0, PT163538.0
OG0004253	PR032197.0	PS070299.2.0, PS082347.2.0	PT033728.0, PT082224.0, PT172089.0
OG0004254	PR032198.0	PS070292.2.0, PS082341.2.0	PT033720.0, PT082231.0, PT163527.0
OG0004255	PR032200.0	PS070290.2.0, PS082339.2.0	PT033853.0, PT082233.0, PT172099.0
OG0004256	PR032209.0	PS070281.2.0, PS082330.2.0	PT033863.0, PT082244.0, PT172112.0
OG0004257	PR032211.0	PS070276.2.0, PS082327.2.0	PT033866.0, PT082247.0, PT172115.0
OG0004258	PR032227.0	PS070261.2.0, PS082308.2.0	PT033884.0, PT082266.0, PT163495.0
OG0004259	PR032232.0	PS070255.2.0, PS082304.2.0	PT033889.0, PT082271.0, PT172137.0
OG0004260	PR032234.0	PS070252.2.0, PS070253.2.0	PT033891.0, PT033893.0, PT163416.0
OG0004261	PR032238.0	PS070250.2.0, PS082300.2.0	PT033895.0, PT082277.0, PT163414.0
OG0004262	PR032243.0	PS070246.2.0, PS082295.2.0	PT033899.0, PT082282.0, PT172144.0
OG0004263	PR032246.0	PS082292.2.0	PT033902.0, PT082285.0, PT163410.0, PT172146.0
OG0004264	PR032247.0	PS070241.2.0, PS082290.2.0	PT033903.0, PT082287.0, PT163409.0
OG0004265	PR032264.0	PS070228.2.0, PS082275.2.0	PT033917.0, PT082306.0, PT163470.0
OG0004266	PR032265.0, PR050440.0	PS082274.2.0	PT042527.0, PT082307.0, PT163471.0
OG0004267	PR032266.0	PS070227.2.0, PS082273.2.0	PT033918.0, PT082309.0, PT172071.0
OG0004268	PR032269.0	PS070225.2.0, PS082270.2.0	PT033921.0, PT082313.0, PT163484.0
OG0004269	PR032273.0	PS070221.2.0, PS082222.2.0	PT033925.0, PT082362.0, PT172064.0
OG0004270	PR032279.0	PS070213.2.0, PS082229.2.0	PT033932.0, PT082355.0, PT163486.0
OG0004271	PR032282.0	PS070211.2.0	PT033935.0, PT082351.0, PT163489.0, PT172056.0
OG0004272	PR032302.0	PS070115.2.0, PS082252.2.0	PT034033.0, PT082332.0, PT172041.0
OG0004273	PR032305.0	PS070118.2.0, PS082256.2.0	PT034029.0, PT082328.0, PT163458.0
OG0004274	PR032308.0	PS070121.2.0, PS082259.2.0	PT034026.0, PT082325.0, PT172034.0
OG0004275	PR032309.0	PS070122.2.0, PS082260.2.0	PT034025.0, PT082324.0, PT163404.0
OG0004276	PR032313.0	PS070126.2.0, PS082265.2.0	PT034021.0, PT082318.0, PT172029.0
OG0004277	PR032332.0	PS070145.2.0, PS082205.2.0	PT033999.0, PT082380.0, PT163432.0
OG0004278	PR032335.0	PS070148.2.0, PS082198.2.0	PT033996.0, PT082385.0, PT163429.0
OG0004279	PR032336.0	PS070149.2.0, PS082197.2.0	PT033995.0, PT082386.0, PT163427.0
OG0004280	PR032339.0	PS070150.2.0, PS082196.2.0	PT033993.0, PT082388.0, PT172003.0
OG0004281	PR032343.0	PS070154.2.0, PS082192.2.0	PT033989.0, PT082394.0, PT163385.0
OG0004282	PR032347.0	PS070160.2.0, PS082188.2.0	PT033985.0, PT082398.0, PT163381.0
OG0004283	PR032356.0	PS070171.2.0, PS082181.2.0	PT033975.0, PT082405.0, PT163374.0
OG0004284	PR032358.0	PS070174.2.0, PS082178.2.0	PT033971.0, PT082409.0, PT163368.0
OG0004285	PR032370.0	PS070187.2.0, PS082164.2.0	PT033961.0, PT082420.0, PT171969.0
OG0004286	PR032379.0	PS082155.2.0	PT033951.0, PT082430.0, PT163304.0, PT171962.0
OG0004287	PR032383.0	PS070200.2.0, PS082150.2.0	PT033946.0, PT082435.0, PT163309.0
OG0004288	PR032384.0	PS070201.2.0	PT033945.0, PT082436.0, PT163310.0, PT171959.0
OG0004289	PR032385.0	PS070202.2.0, PS082149.2.0	PT033944.0, PT082437.0, PT171958.0
OG0004290	PR032386.0	PS070106.2.0	PT034045.0, PT082439.0, PT163354.0, PT171955.0
OG0004291	PR032389.0	PS070103.2.0, PS082146.2.0	PT034048.0, PT082444.0, PT163352.0
OG0004292	PR032395.0	PS070098.2.0, PS082141.2.0	PT034053.0, PT082449.0, PT163346.0
OG0004293	PR032400.0	PS070094.2.0, PS082135.2.0	PT034059.0, PT082456.0, PT163339.0
OG0004294	PR032401.0	PS070093.2.0, PS082134.2.0	PT082457.0, PT163337.0, PT171941.0
OG0004295	PR032404.0	PS070091.2.0, PS082131.2.0	PT082460.0, PT163335.0, PT171939.0
OG0004296	PR032411.0	PS070080.2.0, PS082122.2.0	PT034071.0, PT082472.0, PT163323.0
OG0004297	PR032415.0	PS070074.2.0, PS082115.2.0	PT034077.0, PT082479.0, PT163317.0
OG0004298	PR032417.0	PS070072.2.0, PS082113.2.0	PT034079.0, PT082481.0, PT171875.0
OG0004299	PR032425.0	PS070064.2.0, PS082106.2.0	PT034087.0, PT082488.0, PT171884.0
OG0004300	PR032435.0	PS070051.2.0, PS082096.2.0	PT034099.0, PT082496.0, PT171895.0
OG0004301	PR032441.0	PS070005.2.0, PS082089.2.0	PT034144.0, PT082501.0, PT163276.0
OG0004302	PR032443.0	PS070007.2.0, PS082085.2.0	PT034142.0, PT082504.0, PT163274.0
OG0004303	PR032447.0	PS070012.2.0, PS082080.2.0	PT034137.0, PT082508.0, PT163270.0
OG0004304	PR032461.0	PS070027.2.0, PS082068.2.0	PT034121.0, PT082523.0, PT163260.0
OG0004305	PR032465.0	PS070031.2.0, PS082065.2.0	PT034117.0, PT082527.0, PT163257.0
OG0004306	PR032466.0	PS070032.2.0, PS082064.2.0	PT034116.0, PT082528.0, PT163256.0
OG0004307	PR032470.0	PS070034.2.0, PS082061.2.0	PT034114.0, PT163251.0, PT171864.0
OG0004308	PR032471.0	PS070035.2.0, PS082060.2.0	PT034113.0, PT082530.0, PT163250.0
OG0004309	PR032475.0	PS070039.2.0, PS082057.2.0	PT034111.0, PT082534.0, PT163247.0
OG0004310	PR032476.0, PR032477.0	PS070043.2.0, PS082055.2.0	PT034107.0, PT082536.0
OG0004311	PR032481.0	PS070046.2.0, PS082051.2.0	PT034103.0, PT082540.0, PT163241.0
OG0004312	PR032482.0	PS070047.2.0, PS082050.2.0	PT034102.0, PT082541.0, PT163240.0
OG0004313	PR032487.0	PS082046.2.0	PT034149.0, PT082544.0, PT163235.0, PT171839.0
OG0004314	PR032488.0	PS082045.2.0	PT034150.0, PT082545.0, PT163234.0, PT171837.0
OG0004315	PR032490.0	PS082043.2.0	PT034152.0, PT082547.0, PT163232.0, PT171832.0
OG0004316	PR032499.0	PS082035.2.0	PT034160.0, PT082556.0, PT163222.0, PT171822.0
OG0004317	PR032502.0	PS082031.2.0	PT034163.0, PT082559.0, PT163219.0, PT171814.0
OG0004318	PR032506.0	PS082029.2.0	PT034166.0, PT082561.0, PT163217.0, PT171817.0
OG0004319	PR032508.0	PS082027.2.0	PT034170.0, PT082563.0, PT163215.0, PT171819.0
OG0004320	PR032533.0	PS081987.2.0	PT034190.0, PT082602.0, PT163194.0, PT171779.0
OG0004321	PR032537.0	PS081991.2.0	PT034188.0, PT082597.0, PT163190.0, PT171773.0
OG0004322	PR032552.0	PS033010.2.0, PS082003.2.0	PT082585.0, PT163176.0, PT171754.0
OG0004323	PR032558.0	PS033014.2.0, PS082007.2.0	PT022973.0, PT082580.0, PT163170.0
OG0004324	PR032567.0	PS081968.2.0	PT022963.0, PT082617.0, PT163157.0, PT171733.0
OG0004325	PR032574.0	PS033036.2.0, PS081960.2.0	PT022953.0, PT082626.0, PT163147.0
OG0004326	PR032581.0	PS033039.2.0, PS081954.2.0	PT022949.0, PT082633.0, PT163141.0
OG0004327	PR032582.0	PS033042.2.0, PS081953.2.0	PT022946.0, PT082634.0, PT163140.0
OG0004328	PR032584.0, PR032586.0	PS081951.2.0, PS081952.2.0	PT163138.0, PT171719.0
OG0004329	PR032589.0	PS033046.2.0, PS081942.2.0	PT022939.0, PT082645.0, PT171712.0
OG0004330	PR032602.0	PS033057.2.0, PS081935.2.0	PT022929.0, PT082653.0, PT163127.0
OG0004331	PR032605.0	PS033062.2.0, PS081927.2.0	PT022921.0, PT082663.0, PT163114.0
OG0004332	PR032606.0	PS033063.2.0, PS081926.2.0	PT022920.0, PT082664.0, PT163113.0
OG0004333	PR032617.0	PS033078.2.0, PS081917.2.0	PT022908.0, PT082676.0, PT171684.0
OG0004334	PR032619.0	PS081915.2.0	PT022904.0, PT082679.0, PT163100.0, PT171682.0
OG0004335	PR032620.0	PS033080.2.0, PS081914.2.0	PT022903.0, PT082680.0, PT163099.0
OG0004336	PR032622.0	PS081912.2.0	PT022901.0, PT082682.0, PT163097.0, PT171681.0
OG0004337	PR032624.0	PS033083.2.0, PS081910.2.0	PT022900.0, PT082683.0, PT163096.0
OG0004338	PR032632.0	PS033088.2.0, PS081905.2.0	PT022894.0, PT082691.0, PT163092.0
OG0004339	PR032635.0	PS033090.2.0, PS081903.2.0	PT022892.0, PT082693.0, PT163089.0
OG0004340	PR032636.0	PS033091.2.0, PS081902.2.0	PT022891.0, PT082694.0, PT163088.0
OG0004341	PR032647.0, PR032648.0, PR032664.0	PS081896.2.0	PT082701.0, PT163077.0
OG0004342	PR032652.0, PR032682.0	PS033120.2.0, PS081867.2.0	PT022795.0, PT082735.0
OG0004343	PR032653.0, PR032684.0	PS033123.2.0, PS081868.2.0	PT022797.0, PT082734.0
OG0004344	PR032667.0	PS033104.2.0, PS081899.2.0	PT022878.0, PT082699.0, PT163075.0
OG0004345	PR032671.0, PR033401.0	PS025259.2.0, PS101368.2.0	PT016813.0, PT152136.0
OG0004346	PR032676.0	PS033113.2.0, PS081859.2.0	PT022788.0, PT082744.0, PT163064.0
OG0004347	PR032686.0	PS033125.2.0, PS081870.2.0	PT022799.0, PT082731.0, PT171638.0
OG0004348	PR032689.0	PS033133.2.0, PS081875.2.0	PT022804.0, PT082726.0, PT163046.0
OG0004349	PR032691.0	PS033135.2.0, PS081857.2.0	PT022806.0, PT082746.0, PT163045.0
OG0004350	PR032696.0	PS033142.2.0, PS081851.2.0	PT022813.0, PT082753.0, PT163036.0
OG0004351	PR032701.0	PS033153.2.0, PS081844.2.0	PT022824.0, PT082763.0, PT163030.0
OG0004352	PR032709.0, PR032762.0	PS033162.2.0, PS081836.2.0	PT082772.0, PT171616.0
OG0004353	PR032723.0, PR032751.0	PS033174.2.0, PS081825.2.0	PT163011.0, PT171602.0
OG0004354	PR032767.0	PS033192.2.0	PT022868.0, PT082807.0, PT162993.0, PT171589.0
OG0004355	PR032788.0	PS032893.2.0, PS081777.2.0	PT023097.0, PT082838.0, PT171570.0
OG0004356	PR032793.0	PS032872.2.0, PS081773.2.0	PT023116.0, PT082844.0, PT162961.0
OG0004357	PR032802.0	PS032879.2.0, PS081764.2.0	PT023110.0, PT162951.0, PT171559.0
OG0004358	PR032810.0	PS032888.2.0, PS081758.2.0	PT023101.0, PT082860.0, PT162944.0
OG0004359	PR032812.0, PR060270.0, PR061086.0	PS101065.2.0	PT025841.0, PT025902.0
OG0004360	PR032819.0	PS032864.2.0, PS081751.2.0	PT023124.0, PT082867.0, PT171546.0
OG0004361	PR032836.0	PS032852.2.0, PS081730.2.0	PT023138.0, PT082881.0, PT162923.0
OG0004362	PR032856.0	PS032834.2.0, PS081708.2.0	PT023157.0, PT082903.0, PT162897.0
OG0004363	PR032874.0	PS032820.2.0, PS081691.2.0	PT023169.0, PT082921.0, PT162887.0
OG0004364	PR032886.0	PS032809.2.0, PS081673.2.0	PT023183.0, PT082939.0, PT162878.0
OG0004365	PR032897.0	PS032797.2.0, PS081668.2.0	PT023195.0, PT082943.0, PT162872.0
OG0004366	PR032902.0	PS032800.2.0, PS081665.2.0	PT023193.0, PT082945.0, PT171475.0
OG0004367	PR032922.0	PS032781.2.0, PS081646.2.0	PT023212.0, PT082964.0, PT162848.0
OG0004368	PR032933.0	PS032769.2.0, PS081628.2.0	PT023223.0, PT082978.0, PT162843.0
OG0004369	PR032935.0	PS032767.2.0, PS081626.2.0	PT023225.0, PT082980.0, PT162841.0
OG0004370	PR032939.0	PS032763.2.0, PS081622.2.0	PT023229.0, PT082983.0, PT162836.0
OG0004371	PR032961.0, PR061982.0	PS032727.2.0	PT083013.0, PT162794.0, PT171427.0
OG0004372	PR032969.0	PS032732.2.0, PS081586.2.0	PT023271.0, PT083020.0, PT162790.0
OG0004373	PR032977.0	PS032745.2.0, PS081572.2.0	PT023254.0, PT083028.0, PT162776.0
OG0004374	PR032980.0	PS032739.2.0, PS081568.2.0	PT023260.0, PT083033.0, PT162770.0
OG0004375	PR032982.0	PS073134.2.0, PS082877.2.0, PS082878.2.0	PT030892.0, PT081652.0
OG0004376	PR032999.0	PS032700.2.0, PS081561.2.0	PT023313.0, PT083041.0, PT162761.0
OG0004377	PR033003.0	PS032694.2.0, PS081558.2.0	PT023319.0, PT083045.0, PT162755.0
OG0004378	PR033004.0	PS032693.2.0, PS081559.2.0	PT023320.0, PT083046.0, PT171307.0
OG0004379	PR033006.0	PS032691.2.0, PS081555.2.0	PT083050.0, PT162749.0, PT171309.0
OG0004380	PR033007.0	PS032690.2.0, PS081553.2.0	PT023323.0, PT083052.0, PT162747.0
OG0004381	PR033020.0	PS032679.2.0, PS081544.2.0	PT023333.0, PT083061.0, PT162738.0
OG0004382	PR033023.0	PS032678.2.0, PS081542.2.0	PT023334.0, PT083063.0, PT162736.0
OG0004383	PR033034.0	PS032672.2.0, PS081534.2.0	PT023343.0, PT083071.0, PT162725.0
OG0004384	PR033039.0, PR033040.0	PS011643.2.0	PT011427.0, PT041629.0, PT162718.0
OG0004385	PR033042.0	PS025920.2.0, PS032664.2.0	PT011426.0, PT023350.0, PT171372.0
OG0004386	PR033043.0	PS032663.2.0, PS081526.2.0	PT023351.0, PT083077.0, PT162716.0
OG0004387	PR033045.0, PR033046.0	PS032662.2.0, PS081523.2.0	PT023355.0, PT083080.0
OG0004388	PR033060.0	PS032643.2.0, PS081503.2.0	PT023383.0, PT083101.0, PT171281.0
OG0004389	PR033062.0	PS032641.2.0, PS081501.2.0	PT023385.0, PT083103.0, PT162698.0
OG0004390	PR033063.0	PS032636.2.0, PS081500.2.0	PT023390.0, PT083104.0, PT162697.0
OG0004391	PR033071.0	PS041590.2.0, PS081490.2.0	PT151713.0, PT162688.0, PT171271.0
OG0004392	PR033076.0	PS041585.2.0, PS081485.2.0	PT083119.0, PT151709.0, PT171267.0
OG0004393	PR033083.0	PS041581.2.0, PS081479.2.0	PT083124.0, PT151706.0, PT162684.0
OG0004394	PR033106.0, PR033139.0	PS041566.2.0, PS081457.2.0	PT083143.0, PT151690.0
OG0004395	PR033114.0	PS081448.2.0, PS100424.2.0	PT083154.0, PT103512.0, PT162657.0
OG0004396	PR033115.0	PS041556.2.0, PS081447.2.0	PT083155.0, PT151675.0, PT171238.0
OG0004397	PR033123.0, PR033144.0	PS081440.2.0	PT083161.0, PT151669.0, PT171234.0
OG0004398	PR033149.0	PS041534.2.0, PS081428.2.0	PT083173.0, PT151652.0, PT171223.0
OG0004399	PR033157.0	PS041529.2.0, PS081423.2.0	PT083179.0, PT151649.0, PT162472.0
OG0004400	PR033182.0, PR040973.0	PS021191.2.0, PS034828.2.0	PT016453.0, PT021221.0
OG0004401	PR033230.0	PS041461.2.0, PS081368.2.0	PT083245.0, PT151570.0, PT151571.0
OG0004402	PR033235.0, PR033259.0	PS041454.2.0	PT151562.0, PT162550.0, PT171136.0
OG0004403	PR033246.0	PS041442.2.0, PS081344.2.0	PT083268.0, PT162561.0, PT171126.0
OG0004404	PR033248.0	PS041441.2.0, PS081343.2.0	PT083270.0, PT151549.0, PT162563.0
OG0004405	PR033252.0	PS041434.2.0, PS081338.2.0	PT083273.0, PT151546.0, PT171123.0
OG0004406	PR033256.0, PR033262.0	PS041431.2.0, PS081334.2.0	PT083277.0, PT162570.0
OG0004407	PR033267.0	PS041427.2.0, PS081329.2.0	PT083283.0, PT151538.0, PT162573.0
OG0004408	PR033271.0	PS041422.2.0, PS081323.2.0	PT083288.0, PT151533.0, PT162578.0
OG0004409	PR033299.0	PS041392.2.0, PS081298.2.0	PT083311.0, PT151507.0, PT162602.0
OG0004410	PR033302.0	PS041396.2.0, PS081300.2.0	PT083309.0, PT151509.0, PT162600.0
OG0004411	PR033305.0	PS041389.2.0, PS081293.2.0	PT083314.0, PT151504.0, PT162604.0
OG0004412	PR033317.0	PS041379.2.0, PS073295.2.0, PS081285.2.0	PT030712.0, PT031024.0
OG0004413	PR033336.0, PR042609.0	PS041371.2.0, PS053869.2.0	PT054324.0, PT171066.0
OG0004414	PR033350.0	PS041352.2.0, PS081264.2.0	PT083343.0, PT151467.0, PT162468.0
OG0004415	PR033351.0	PS041351.2.0, PS081263.2.0	PT083345.0, PT151466.0, PT162467.0
OG0004416	PR033358.0, PR033360.0	PS041345.2.0, PS081258.2.0	PT083351.0, PT151460.0
OG0004417	PR033397.0	PS041316.2.0, PS081228.2.0	PT083381.0, PT151434.0, PT171016.0
OG0004418	PR033402.0	PS081222.2.0	PT140392.0, PT171011.0, PT180360.0, PT213468.0
OG0004419	PR033413.0	PS041296.2.0, PS081210.2.0	PT083397.0, PT151414.0, PT162425.0
OG0004420	PR033415.0	PS041294.2.0, PS081209.2.0	PT083398.0, PT151412.0, PT171001.0
OG0004421	PR033425.0	PS041282.2.0, PS081196.2.0	PT083410.0, PT151401.0, PT162413.0
OG0004422	PR033432.0	PS041276.2.0, PS081191.2.0	PT083414.0, PT151399.0, PT162407.0
OG0004423	PR033446.0	PS041261.2.0, PS081179.2.0	PT083426.0, PT151382.0, PT162397.0
OG0004424	PR033457.0	PS041245.2.0, PS081166.2.0	PT083438.0, PT151370.0, PT162387.0
OG0004425	PR033459.0	PS041239.2.0, PS081164.2.0	PT083440.0, PT151364.0, PT162383.0
OG0004426	PR033461.0	PS041238.2.0, PS081161.2.0	PT083443.0, PT151362.0, PT162382.0
OG0004427	PR033477.0, PR033478.0, PR033479.0	PS081133.2.0	PT083475.0, PT162355.0
OG0004428	PR033496.0	PS041185.2.0, PS081117.2.0	PT083493.0, PT151307.0, PT162329.0
OG0004429	PR033504.0	PS041175.2.0, PS081109.2.0	PT083500.0, PT151296.0, PT162324.0
OG0004430	PR033518.0	PS041162.2.0, PS081100.2.0	PT083508.0, PT151283.0, PT162316.0
OG0004431	PR033524.0, PR034761.0	PS081835.2.0	PT150243.0, PT163021.0, PT164657.0
OG0004432	PR033528.0	PS041156.2.0, PS081094.2.0	PT083515.0, PT151277.0, PT162308.0
OG0004433	PR033532.0	PS041150.2.0, PS081089.2.0	PT083521.0, PT151272.0, PT170895.0
OG0004434	PR033537.0	PS041148.2.0, PS081086.2.0	PT083522.0, PT151259.0, PT162302.0
OG0004435	PR033544.0	PS041146.2.0, PS081084.2.0	PT083525.0, PT151251.0, PT162297.0
OG0004436	PR033564.0	PS041132.2.0, PS081061.2.0	PT083545.0, PT151232.0, PT170871.0
OG0004437	PR033577.0, PR033578.0	PS041124.2.0, PS041126.2.0	PT151225.0, PT151226.0
OG0004438	PR033587.0	PS041108.2.0, PS041179.2.0	PT151210.0, PT151303.0, PT162271.0
OG0004439	PR033589.0	PS041107.2.0, PS081044.2.0	PT083559.0, PT151209.0, PT162270.0
OG0004440	PR033606.0	PS041089.2.0, PS081022.2.0	PT083582.0, PT151190.0, PT170838.0
OG0004441	PR033625.0	PS040916.2.0, PS080898.2.0	PT083710.0, PT150999.0, PT170722.0
OG0004442	PR033648.0, PR062955.0	PS080623.2.0, PS082169.2.0	PT034644.0, PT075159.0
OG0004443	PR033666.0, PR033676.0	PS025360.2.0, PS064004.2.0	PT011999.0, PT060295.0
OG0004444	PR033668.0, PR033678.0, PR050910.0	PS063814.2.0	PT100887.0, PT115273.0
OG0004445	PR033716.0, PR033721.0, PR033830.0	PS080808.2.0	PT083795.0, PT170665.0
OG0004446	PR033727.0	PS040828.2.0, PS080797.2.0	PT083813.0, PT150897.0, PT162056.0
OG0004447	PR033743.0, PR033824.0	PS040804.2.0, PS080772.2.0	PT083851.0, PT150875.0
OG0004448	PR033750.0, PR033804.0	PS040790.2.0, PS080760.2.0	PT083868.0, PT150859.0
OG0004449	PR033769.0	PS040757.2.0, PS080731.2.0	PT083897.0, PT150825.0, PT161998.0
OG0004450	PR033783.0	PS040773.2.0, PS080743.2.0	PT083885.0, PT150840.0, PT170623.0
OG0004451	PR033791.0	PS040780.2.0, PS080748.2.0	PT083880.0, PT150845.0, PT162019.0
OG0004452	PR033792.0	PS040783.2.0, PS080751.2.0	PT083877.0, PT150849.0, PT162022.0
OG0004453	PR033811.0	PS040800.2.0, PS080769.2.0	PT083857.0, PT150869.0, PT170643.0
OG0004454	PR033876.0	PS040742.2.0, PS080722.2.0	PT083909.0, PT150802.0, PT170585.0
OG0004455	PR033885.0	PS040733.2.0	PT083919.0, PT150791.0, PT161966.0, PT170579.0
OG0004456	PR033891.0, PR040729.0	PS025059.2.0, PS035101.2.0	PT012307.0, PT020765.0
OG0004457	PR033912.0	PS040730.2.0, PS080699.2.0	PT083947.0, PT150787.0, PT161946.0
OG0004458	PR033916.0	PS040705.2.0, PS080693.2.0	PT083953.0, PT150754.0, PT170566.0
OG0004459	PR033924.0	PS040693.2.0, PS080689.2.0	PT083956.0, PT150743.0, PT161935.0
OG0004460	PR033927.0, PR035068.0, PR035095.0	PS080685.2.0	PT083959.0, PT161933.0
OG0004461	PR033930.0, PR035073.0	PS040680.2.0, PS040682.2.0	PT150726.0, PT161925.0
OG0004462	PR033950.0, PR035147.0, PR073265.0	PS080632.2.0	PT084006.0, PT161884.0
OG0004463	PR033968.0, PR035150.0	PS040624.2.0, PS080609.2.0	PT084019.0, PT170503.0
OG0004464	PR033982.0, PR033987.0, PR035206.0	PS080579.2.0	PT084049.0, PT170483.0
OG0004465	PR033996.0, PR035212.0	PS040577.2.0, PS080575.2.0	PT084053.0, PT150613.0
OG0004466	PR034018.0, PR035247.0	PS040560.2.0, PS080556.2.0	PT084071.0, PT150597.0
OG0004467	PR034019.0, PR035248.0	PS040558.2.0, PS080555.2.0	PT084072.0, PT170444.0
OG0004468	PR034026.0, PR034029.0, PR035397.0, PR035399.0, PR035402.0, PR035408.0		
OG0004469	PR034038.0, PR035347.0	PS040530.2.0, PS080523.2.0	PT084105.0, PT150571.0
OG0004470	PR034043.0, PR035353.0	PS080519.2.0	PT084110.0, PT144019.0, PT170463.0
OG0004471	PR034122.0, PR035366.0	PS040471.2.0, PS080445.2.0	PT084186.0, PT150513.0
OG0004472	PR034127.0, PR034130.0, PR034131.0		PT161695.0, PT161696.0, PT161698.0
OG0004473	PR034138.0	PS040463.2.0, PS080434.2.0	PT084197.0, PT150504.0, PT161699.0
OG0004474	PR034145.0	PS040458.2.0	PT150496.0, PT150497.0, PT170364.0, PT170365.0
OG0004475	PR034149.0	PS040454.2.0, PS080432.2.0	PT084199.0, PT150493.0, PT161690.0
OG0004476	PR034166.0, PR034167.0, PR034169.0	PS040435.2.0, PS080429.2.0	PT084204.0
OG0004477	PR034180.0, PR034234.0	PS040426.2.0	PT150465.0, PT161669.0, PT170349.0
OG0004478	PR034187.0, PR034235.0	PS040422.2.0, PS080414.2.0	PT084217.0, PT170347.0
OG0004479	PR034196.0	PS040419.2.0, PS080412.2.0	PT084219.0, PT150460.0, PT161659.0
OG0004480	PR034209.0, PR034240.0	PS040407.2.0, PS080402.2.0	PT084232.0, PT150445.0
OG0004481	PR034215.0	PS021355.2.0	PT016263.0, PT025228.0, PT070533.0, PT112336.0
OG0004482	PR034244.0	PS021349.2.0, PS024646.2.0	PT110267.0, PT120237.0, PT213143.0
OG0004483	PR034292.0		PT170038.0, PT170039.0, PT170041.0, PT170042.0, PT170044.0
OG0004484	PR034299.0	PS040053.2.0, PS080061.2.0	PT084560.0, PT150077.0, PT170035.0
